name,address,rating,email,phone,category,website,gmap_link,services
BlazeDream Technologies Pvt Ltd,"Software company · 7th Floor, Suite, Spencer Plaza, 715-A, Anna Salai
Closed ⋅ Opens 9:30 am Thu",4.8,reach@blazedream.com,N/A,IT company,https://www.blazedream.com/,https://www.google.com/maps/search/IT+company+near+600002/,Blazedream Home About Us Case Study Careers Blog Contact Us Services Web Development Web Development Open Source Php Development . net Development Wordpress Development Mobile App Development Native Apps Cross Platform Application Mobile App Conversion Mobile App Re-engineering Ecommerce Development App. Integration/ Web Service Requirement Engineering Dedicated Hiring Digital Marketing Digital Marketing Search Engine Optimization Social Media Marketing Search Engine Marketing Content Marketing 
Clarivate Analytics,"Software company ·  · 7th floor, BLOCK-1, Prestige zackria metropolitan, 200/1
Open ⋅ Closes 11 pm",4.2,N/A,N/A,IT company,http://www.clarivate.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Main Menu Academia & Government Academia & Government Powering academic institutions and government organizations Clarivate is home to leading research, education and library solutions, including Web of Science™, ProQuest™, Ex Libris™ and Innovative™. Explore north_east Featured Highly Cited Researchers 2024 See the individuals who have demonstrated significant and broad influence in their fields of research. The Institute for Scientific Information Fostering the scientometric community through "
Yalamanchili Software Exports Ltd,"Software company · 2nd Floor, Shakthi Tower I, 766, Anna Salai, Anna Salai
Closed ⋅ Opens 9 am Thu · 020 3817 7647",3.5,info@yalamanchili.in,020 3817 7647,IT company,https://www.yalamanchili.com.sg/,https://www.google.com/maps/search/IT+company+near+600002/,"Our Company Our Solutions One Platform, Infinite Solutions Providing enterprise class customizable and scalable end-to-end payment solutions since 1998, ensuring your business stays future-proof in a rapidly evolving industry. Contact Us Contact Us Learn More Learn More Our Presence Serving the world. Locally. 25+ Years of Experience 40+ Countries 150+ Clients Served Our Strengths Meet your customised needs with our unique capabilities Expand as You Grow With our super-scalable and modular featu"
Logas,"Software company ·  · 3rd Floor Vijay Shanthi Complex 3, Blackers Road, Mount Rd, next to Casino Theatre
Closes soon ⋅ 8 pm ⋅ Opens 10 am Thu · 063745 55568",4.0,sales@logasapp.com,063745 55568,IT company,http://logasapp.com/,https://www.google.com/maps/search/IT+company+near+600002/,Home Who We Are Our Mission Business Challenges Our Solution About Logas Our Offerings Our Journey Our Presence Our Team Product Video Partners News Careers Contact Us Download Sell on ONDC
F22 Labs,"Software company · Floor 5, Executive Zone, Shakti Tower 1, 766, Anna Salai
Open ⋅ Closes 9 pm · 078458 18922",4.4,murtuza@f22labs.com,078458 18922,IT company,https://www.f22labs.com/,https://www.google.com/maps/search/IT+company+near+600002/,About AI as a Service Services Projects AI PoCs Blogs Careers Contact Us IDEATE • DESIGN • BUILD • LAUNCH We Build Web and Mobile Applications Have an idea in mind? Let's Chat Featured Case Study One-stop solutions for all your daily fitness data from your smartwatch Challenge - Analyzed and reviewed the SDKs available for each smartwatch model and developed a bridge to transfer data from the smartwatch to Mobile Application. Noise brand sells both Bluetooth wearables and smartwatches online. Th
"Rinsoft Pvt Ltd, Chennai","Software company · Second floor, New No.113,Old No.56/1,Sri Amman Complex, Arunachallam St
Open 24 hours · 03108 183 781",4.7,N/A,03108 183 781,IT company,http://www.rinsoft.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Home About Us What we do Technologies AI Solutions Case Studies Our Clients Search... Contact Us Providing Robust Custom Software Solutions Custom Software Development | Cloud Migration | AWS Development |
                        App Development | Web Application Development Established in 2008, our software development company has been serving with great satisfaction of our client, for their Custom Software Development, AWS and Azure development, Cloud Migration & Apps and Web Applications Dev"
Appsplug Software India Pvt. Ltd.,"Software company · 715A, 7th Floor, Suite No. 180, Spencer Plaza Mall, Anna Salai
Closed ⋅ Opens 9 am Thu · 079041 16026",4.4,info@appsplug.com,079041 16026,IT company,https://appsplug.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Hubsem Software Solutions Pvt Ltd,"Software company · 7th Floor, Spencer Plaza Mall, 714A, 769, Anna Salai
Closed ⋅ Opens 10 am Thu · 099765 97372",4.8,N/A,099765 97372,IT company,https://www.hubsem.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Green Lead Technologies,"Software company · 7th Floor, HAVL HI TECH solutions block ,#769 Spencer Plaza mall 714 A
Closed ⋅ Opens 10:30 am Thu",4.8,info@greenleadtechnologies.com,N/A,IT company,https://greenleadtechnologies.com/,https://www.google.com/maps/search/IT+company+near+600002/,Toggle navigation Home About Mobile App Career Services Website Design Content Management System (CMS) Software Development Web Hosting Contact
Digispoc – Software Development & Digital Marketing Company,"Software company · 1A, 1st floor, Mount Chambers, No 758, Vasan Ave
Closed ⋅ Opens 10 am Thu",4.8,N/A,N/A,IT company,https://digispoc.com/en-in/,https://www.google.com/maps/search/IT+company+near+600002/,"Services About us Get in touch Technology Frontend & Backend Development Dedicated Development Team Custom Software Development Mobile Development Software Quality Assurance UI UX Designer Digital Marketing Search Engine Optimization Social Media Management Pay Per Click  (PPC) Content Marketing Email Marketing Online Reputation Management Get in touch Leading Software Development Company in Chennai From powerful software to precision marketing, we deliver complete technology solutions that help"
Evis Technologies,"Software company · Ground Floor, The Executive Zone, 766/1, Anna Salai
Open 24 hours",5.0,N/A,N/A,IT company,https://www.evisbot.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
"Nanlogical Consultancy Services Pvt. Ltd.,","Software company · 16, Deivanayagam St
Open 24 hours · 080560 56161",4.9,contact@nanlogical.com,080560 56161,IT company,https://nanlogical.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Home About Us Our Services Contact Best logic for your dream works We specialize in native web , android and Ios Clone Script. Our Clone Scripts are the best. Best logic for your dream works We specialize in native web , android and Ios Clone Script. Our Clone Scripts are the best. Best logic for your dream works We specialize in native web , android and Ios Clone Script. Our Clone Scripts are the best."
Tata Consultancy Services,"Software company ·  · 3766+H3F, Anna Salai
Open 24 hours · 022 6778 9960",4.1,N/A,022 6778 9960,IT company,https://www.tcs.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Click here or press enter to go to homepage What we do Who we are Insights Careers Newsroom Investors Worldwide Contact us tata.com logo Open in New Tab Perpetually Adaptive Enterprise Press tab for submenu items Where adaptability meets advantage At TCS, we don’t just help businesses transform. We help them become perpetually adaptive enterprises, built to evolve continuously and confidently in a world of constant change. Adaptability starts here Industries Banking Capital Markets Consumer Pack"
Posnic Billing Software,"Software company · Ground Floor, 2, Meeran Sahib St
Closed ⋅ Opens 9 am Thu · 094941 11161",5.0,name@example.com,094941 11161,IT company,https://www.posnic.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Home About us Features Pricing User Guide Text Tutorial Video Tutorial Jobs Contact Us Get Free Quote Get Free Quote Best Billing Software For Your Business Free Forever No Credit card required. Just start using with E-mail. Get Started By clicking the above button, you agree to our Terms and Conditions and have read our Privacy Policy . Features Unlimited Multi Store / Branch / Outlets Posnic is a billing system used by small businesses to manage multiple stores/branches/outlets. It provides be"
Zydni Software Solutions,"Software company · First Floor, No 5, smith lane, Post
Open 24 hours · 094950 80297",4.2,N/A,094950 80297,IT company,https://zydni.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Peritys (Zorian Global Private Limited),"Software company · Suite No.1264, Spencer Plaza Mall, 715-A, 7th Floor, Anna Salai
Open ⋅ Closes 10 pm",4.2,Stiora_Logo_PNG_150x@2x.avif,N/A,IT company,https://www.peritys.com/,https://www.google.com/maps/search/IT+company+near+600002/,Home About Us Portfolio Services Blogs Contact Us X
Appsplug Software India Pvt. Ltd.,"Software company · 715A, 7th Floor, Suite No. 180, Spencer Plaza Mall, Anna Salai
Closed ⋅ Opens 9 am Thu · 079041 16026",4.4,info@appsplug.com,079041 16026,IT company,https://appsplug.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
McKayne Technologies,"Software company · Spencer Plaza, G 194, 3rd Phase, Ground floor, Spencer Plaza 5, 6, 7, 8 and 9th floor, 769, 3, Anna Salai
Closed ⋅ Opens 9:30 am Thu · 094475 20016",5.0,develop@mckayne.com,094475 20016,IT company,http://www.mckayne.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Who we are What we do How we do What we did Contact Us Who we are What we do How we do What we did Contact Us Application development concepts made a reality with us Your Trusted Technology Partner We use cutting-edge technology to deliver amazing products and platforms
                        for our clients to make their vision a reality Reliability Deep Tech Expertise Time Tracking Personal Commitment Substitutability Scalability We Build apps for all screens We believe in innovative and out"
Expert Solutions,"Software company · phase 2, Spencer Plaza Mall, Anna Salai
Closed ⋅ Opens 10 am Thu · 098404 27669",4.9,N/A,098404 27669,IT company,https://www.expert-solutions.co/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Intrepid IT Services,"Software company · 5E, Kences Towers, 1, Ramakrishna St
Closes soon ⋅ 8 pm ⋅ Opens 9 am Thu · 044 4541 0606",4.3,N/A,044 4541 0606,IT company,https://www.intrepiditservices.com/,https://www.google.com/maps/search/IT+company+near+600002/,Home Demos Shop Pages About Services Contact Team 404 Page Features Mega 1 Mega 2 Mega 3 Mega 4
Kripya Solutions Private Limited,"Software company · 3rd Floor, 62, KGN Towers, B-Wing, Ethiraj Salai
Closes soon ⋅ 8 pm ⋅ Opens 10 am Thu",4.3,N/A,N/A,IT company,http://www.kripya.com/,https://www.google.com/maps/search/IT+company+near+600002/,What we do + Platform Engineering Product Engineering Implementation & Customization Managed Services Industry Solutions Insights About us Careers Connect with us
Hubsem Software Solutions Pvt Ltd,"Software company · 7th Floor, Spencer Plaza Mall, 714A, 769, Anna Salai
Closed ⋅ Opens 10 am Thu · 099765 97372",4.8,N/A,099765 97372,IT company,https://www.hubsem.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Pil India Pvt Ltd,"Software company · 8th Floor, Raheja Towers
Open 24 hours",4.0,N/A,N/A,IT company,http://www.pilship.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Pupa Clic,"Software company ·  · VGP Victory House, G12, Anna Salai
Closed ⋅ Opens 9:30 am Thu · 099402 68251",4.6,support@pupaclic.com,099402 68251,IT company,https://www.pupaclic.com/,https://www.google.com/maps/search/IT+company+near+600002/,"MENU About Services Enterprise SME Researcher Startup Client Reviews Skills Web App Mobile App IoT SDK Development Factory Room Careers Contact us 200+ Framework Modules Developed In-House Our expert teams have built solutions in Mobile , Web , AI , and Smart Electronics for quicker deveopment. More than 500 Projects & Solutions Delivered in 10+ years From building a cloud OS to CRMs for 800M+ users. Your partner for digital transformation. Web, Mobile App, AI & IoT Experts – Australia, USA, Ind"
KlioTech LLP,"Software company ·  · Mount Chambers, 1D, 758, Vasan Ave
Closed ⋅ Opens 9:30 am Thu · 097903 35430",4.6,N/A,097903 35430,IT company,http://www.kliotech.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Industries KlioTech has been authoritative in the following industries! ISV For over a decade KlioTech has been offering Product Development services to ISV’s. KlioTech has been the preferred partner to ISV’s of all sizes, from start-ups to fortune 500 companies. Media & Entertainment KlioTech offers IT solutions to segments such as iGaming, Fashion and Music. Some of KlioTech’s work has made its customers a top runners in their segment. Healthcare KlioTech has been providing application develop"
Kuvera First Source,"Software company · 7th Floor, #769, Spencer Plaza Mall, 714 A",4.6,N/A,N/A,IT company,https://kuverafirst.co.in/,https://www.google.com/maps/search/IT+company+near+600002/,KUVERA FIRST SOURCE Home / About Us / Solutions/ What We Do / IT Professional Services Cyber security services Business Resilience Cloud solutions Industries / Healthcare & Lifestyle Retail Logistics Careers Contact
GML Soft Labs - Mobile App Development Company,"Software company
Closed ⋅ Opens 6:30 pm",4.5,N/A,N/A,IT company,http://www.gmlsoftlabs.com/?utm_source=Google&utm_medium=Google_business&utm_campaign=organic,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Tulsiam technologies pvt ltd,"Software company · Spencer Plaza, S102, Anna Salai
Open ⋅ Closes 10 pm",5.0,N/A,N/A,IT company,https://tulsiam.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
GATEWAY SOFTWARE SOLUTIONS,"Software company · 1st Floor, Old No:57/62, New No:111, Wallahjah Rd, above KFC
Closed ⋅ Opens 9:30 am Thu · 073970 78885",4.8,N/A,073970 78885,IT company,https://gatewaysoftwaresolutions.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Ethical Intelligent Technologies,"Software company ·  · Nizara Bonanza
Open ⋅ Closes 6 am Thu · 095008 66462",4.1,sales@ethicalintelligent.com,095008 66462,IT company,https://ethicalintelligent.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Home Services + IT Services Hardware Manufacturing IOT AI + AI Development Services AI Powered No
                                                                Code Low Code AI Powered Business
                                                                Analytics AI Powered Office
                                                                Automation Who We Are + About Us Clients Contact Us Blogs Get in touch with us sales@ethicalintelligent.com"
GATEWAY SOFTWARE SOLUTIONS,"Software company · 1st Floor, Old No:57/62, New No:111, Wallahjah Rd, above KFC
Closed ⋅ Opens 9:30 am Thu · 073970 78885",4.8,N/A,073970 78885,IT company,https://gatewaysoftwaresolutions.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Ethical Intelligent Technologies,"Software company ·  · Nizara Bonanza
Open ⋅ Closes 6 am Thu · 095008 66462",4.1,sales@ethicalintelligent.com,095008 66462,IT company,https://ethicalintelligent.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Home Services + IT Services Hardware Manufacturing IOT AI + AI Development Services AI Powered No
                                                                Code Low Code AI Powered Business
                                                                Analytics AI Powered Office
                                                                Automation Who We Are + About Us Clients Contact Us Blogs Get in touch with us sales@ethicalintelligent.com"
Tronlogix Tech Pvt Ltd,"Software company · Wellingdon Estate, Ethiraj Salai
Open ⋅ Closes 6:30 am Thu · 01399 321 323",3.9,webmaster@tronlogix.com,01399 321 323,IT company,http://www.tronlogix.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Roshtek Info Private Limited,"Computer accessories store ·  · 1st Floor, Electronic Centre, Gee Gee Complex, No 4 and 5, Narasingapuram St
Open ⋅ Closes 9 pm",4.9,info@roshtek.in,N/A,IT company,http://www.roshtek.in/,https://www.google.com/maps/search/IT+company+near+600002/,Search this site Embedded Files Skip to main content Skip to navigation Whatsapp: 9600094492 Home Products About us Contact US Whatsapp: 9600094492 Home Products About us Contact US More Home Products About us Contact US ROSHTEK INFO PRIVATE LIMITED Your Best Destination For Laptop Accessories and Computer Peripherals South India's top suppliers of Laptop Accessories & Computer Peripherals SHOP NOW Wholesale Dealers in All Type of Compatible and Original Laptop Accessories All Type of Desktop Co
OASIS INDIA IT STORE PVT LTD,"Computer store ·  · No 832 , Oasis Tower, Anna Salai
Open ⋅ Closes 9 pm · 098400 57413",4.5,support@oasisitstore.in,098400 57413,IT company,https://oasisitstore.in/,https://www.google.com/maps/search/IT+company+near+600002/,"Cooling System Processor Motherboard Memory (RAM) Storage Graphics Card Power Supply Cabinets Mobile can't handle your games! Switch now to Gaming Laptops Browse Grab Upto 50% Off On Selected Headphones Buy Now Awesome Support Amazing after sales support Secure Payment All Cards Accepted Big Savings With no compromise on quality Same Day Delivery before 3 PM, Only in Chennai Offer of the Day -34% Compare ZOTAC GRAPHICS CARD RTX5070 SOLID OC 12GB D7 ₹100,000 ₹65,000 ZOTAC GAMING GeForce RTX 5070 "
BVP IT SERVICES,"Software company · Spencer Plaza Mall, Anna Salai
Closed ⋅ Opens 9 am Thu · 044 2850 5270",5.0,contact@sansoxygen.com,044 2850 5270,IT company,http://bvpitservices.in/,https://www.google.com/maps/search/IT+company+near+600002/,Home About Online Appts What we do Contact Us Subscribe More Home About Online Appts What we do Contact Us Subscribe Sign In Create Account Bookings My Account Signed in as: filler@godaddy.com Bookings My Account Sign out Signed in as: filler@godaddy.com Home About Online Appts What we do Contact Us Subscribe Account Bookings My Account Sign out Sign In Bookings My Account Expert IT Consulting and Support Solutions Expert IT Consulting and Support Solutions Expert IT Consulting and Support Solut
Galinios Technologis Pvt. Ltd,"Software company · Spencer Plaza Mall, 513B, 5th Floor, Phase II, Mount Rd
Closed ⋅ Opens 9:30 am Thu · 044 4770 4624",4.8,webmaster@galiniostechnologis.com,044 4770 4624,IT company,https://galiniostechnologis.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Brio Technologies Private Limited,"Software company ·  · The Executive Zone Shakti Tower - 1 766 Anna Salai, Mount Road Thousand Lights Metro Station Near Spencer Plaza
Closed ⋅ Opens 9:30 am Thu · 040 6766 1500",5.0,N/A,040 6766 1500,IT company,https://www.briotech.com/,https://www.google.com/maps/search/IT+company+near+600002/,Close Search search Menu Home About Us Who is Brio? Why Brio? Core Values Core Team What we do Make IT Joyful Our Services Artificial Intelligence Cloud Data Digital Workplace Application Development Our Partners Google Workspace Google Cloud Microsoft 365 Microsoft Azure Amazon Web Services JumpCloud Kissflow HashiCorp Zoho Workplace Mio CrowdStrike Perk Payroll Industry Solutions IT/ITES Retail Consumer Packaged Goods Healthcare Real Estate Professional Services Manufacturing Media & Communica
Acumen Technologies Pvt. Ltd.,"Software company · KRJ Building, No:7, Second Floor, Welder St
Closed ⋅ Opens 9 am Thu · 044 4214 1116",4.5,N/A,044 4214 1116,IT company,http://www.acumentec.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
InQ Technologies Pvt Ltd.,"Software company ·  · 5, Vnct tower, Mahalingapuram Main Rd, above HDFC Bank
Closed ⋅ Opens 10 am Thu · 094860 60522",3.9,info@inqtechnologies.com,094860 60522,IT company,http://www.inqtechnologies.com/,https://www.google.com/maps/search/IT+company+near+600002/,MENU MENU About Us Design Development Ecommerce Promote Maintenance Portfolio Clients Careers Contact
CAFS Infotech,"Software company ·  · Unit no : O- 515, 5th floor, Spencer Plaza Mall, Anna Salai
Closed ⋅ Opens 9:30 am Thu · 078452 80780",3.9,hr@cafsinfotech.com,078452 80780,IT company,https://cafsinfotech.com/,https://www.google.com/maps/search/IT+company+near+600002/,IND: +91 7845280780 hr@cafsinfotech.com Home Services Web Application Mobile Application Android Application IOS Application Hybrid Application Web Design Digital Marketing Search Engine Marketing Search Engine Optimization Social Media Marketing Email Marketing Content Marketing PPC Campaigns SMS Marketing Dedicated Resources Internet of Things Blockchain Products Tours and Travels Logistics Management CRM Billing Software Blogs Our Company About us Contact us Careers Job vacancy Internship
UX Business Solutions Private Limited,"Software company · 7 & 7A – 3rd Floor, Wellingdon Estate, 53, Ethiraj Salai, Opp – Ethiraj College, Egmore
Closed ⋅ Opens 9 am Thu · 095000 53536",4.2,N/A,095000 53536,IT company,N/A,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Hectadata India Technology Consulting Pvt Ltd,"Software company ·  · 1st Floor, Kubers"", Annex, No: 42, Pantheon Rd 2nd Ln
Closed ⋅ Opens 9:30 am Thu · 044 4228 7700",4.5,N/A,044 4228 7700,IT company,https://hectadata.in/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Pulse Telesystems Private Limited,"Software company · 11/9, Pulse Province, Sterling road 3rd cross street, Nungambakkam
Open 24 hours · 044 4000 1800",4.4,sales@pulse.in,044 4000 1800,IT company,https://www.pulse.in/?utm_source=googlemaps,https://www.google.com/maps/search/IT+company+near+600002/,Home About Services Data Internet Leased Line Point To Point FIbre RF Dual Last Mile Voice VoIP Service Domestic SIP Trunk Virtual Number Audio Conference PRI Network & Security Firewall SD-WAN Hosted VPN Cyber Security Integration CRM Integration Teams Integration Whatsapp API Cloud PBX Call Center Solution Cloud IVR Solution Call Recording Call Routing Predictive Dialer Calling Campaign Voicemail Cloud Telephony Truecaller Verified ID AI Speech to Text Text to Speech Phones Webphone IP Phone S
MI InfoTech,"Software company · 1 Bharathi Nagar First Street, N Usman Rd
Closed ⋅ Opens 9 am Thu",4.3,info@miinfotech.co.in,N/A,IT company,https://miinfotech.co.in/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
ITNADU,"Software company · 7TH FLOOR, Spencer Plaza Mall, Suite No.1142, 715-A, Anna Salai
Closes soon ⋅ 7:30 pm ⋅ Opens 9:30 am Thu · 090805 67579",5.0,info@itnadu.com,090805 67579,IT company,https://itnadu.com/,https://www.google.com/maps/search/IT+company+near+600002/,Home About Us Services Brand Build Marketing Grow Portfolio Blog Contact Linkedin Instagram Whatsapp Mobile-alt
Newline Technologies,"Software company · Govt Arts College, No 1 Binny Road, near Quaide millath
Closed ⋅ Opens 10 am Thu · 096772 48190",3.8,N/A,096772 48190,IT company,https://newlinetechnologies.in/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Openwave Computing Services Pvt Ltd.,"Software company ·  · Sterling Road, 3, 3rd Cross St
Closes soon ⋅ 7:30 pm ⋅ Opens 9:30 am Thu · 044 4292 1215",3.8,info@openwavecomp.com,044 4292 1215,IT company,https://www.openwavecomp.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Home Company Company About Us Careers Vision, Mission, Values Delivery Models ▪ Onsite-Offshore
													Model ▪ Offshore
													Delivery Center Quality Assurance
													Framework ▪ Quality Policy ▪ Quality Management
													System ▪ Delivery
													Excellence Information Security
													Policy Value Proposition Infrastructure
													Capabilities Workforce Competency
													Profile Resources Blog Case Studies Services Web Applications Python Developm"
B-Accuracy (Business Software Solution),"Software company · #26, Ethiraj Salai Fagun Chambers"" Office No. 6, 3rd Floor
Closed ⋅ Opens 10 am Thu · 044 2821 1811",4.8,N/A,044 2821 1811,IT company,https://baccuracy.com/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
